[init] dropping graph 'bench2_b7_noisy_2m'
[init] creating composite index :entity(uuid_hi, uuid_lo)
[init]   hub/star 1660/2700 batches (830,000 edges)
[init]   hub/star 1665/2700 batches (832,500 edges)
[init]   hub/star 1670/2700 batches (835,000 edges)
[init]   hub/star 1675/2700 batches (837,500 edges)
[init]   hub/star 1680/2700 batches (840,000 edges)
[init]   hub/star 1685/2700 batches (842,500 edges)
[init]   hub/star 1690/2700 batches (845,000 edges)
[init]   hub/star 1695/2700 batches (847,500 edges)
[init]   hub/star 1700/2700 batches (850,000 edges)
[init]   hub/star 1705/2700 batches (852,500 edges)
[init]   hub/star 1710/2700 batches (855,000 edges)
[init]   hub/star 1715/2700 batches (857,500 edges)
[init]   hub/star 1720/2700 batches (860,000 edges)
[init]   hub/star 1725/2700 batches (862,500 edges)
[init]   hub/star 1730/2700 batches (865,000 edges)
[init]   hub/star 1735/2700 batches (867,500 edges)
[init]   hub/star 1740/2700 batches (870,000 edges)
[init]   hub/star 1745/2700 batches (872,500 edges)
[init]   hub/star 1750/2700 batches (875,000 edges)
[init]   hub/star 1755/2700 batches (877,500 edges)
[init]   hub/star 1760/2700 batches (880,000 edges)
[init]   hub/star 1765/2700 batches (882,500 edges)
[init]   hub/star 1770/2700 batches (885,000 edges)
[init]   hub/star 1775/2700 batches (887,500 edges)
[init]   hub/star 1780/2700 batches (890,000 edges)
[init]   hub/star 1785/2700 batches (892,500 edges)
[init]   hub/star 1790/2700 batches (895,000 edges)
[init]   hub/star 1795/2700 batches (897,500 edges)
[init]   hub/star 1800/2700 batches (900,000 edges)
[init]   hub/star 1805/2700 batches (902,500 edges)
[init]   hub/star 1810/2700 batches (905,000 edges)
[init]   hub/star 1815/2700 batches (907,500 edges)
[init]   hub/star 1820/2700 batches (910,000 edges)
[init]   hub/star 1825/2700 batches (912,500 edges)
[init]   hub/star 1830/2700 batches (915,000 edges)
[init]   hub/star 1835/2700 batches (917,500 edges)
[init]   hub/star 1840/2700 batches (920,000 edges)
[init]   hub/star 1845/2700 batches (922,500 edges)
[init]   hub/star 1850/2700 batches (925,000 edges)
[init]   hub/star 1855/2700 batches (927,500 edges)
[init]   hub/star 1860/2700 batches (930,000 edges)
[init]   hub/star 1865/2700 batches (932,500 edges)
[init]   hub/star 1870/2700 batches (935,000 edges)
[init]   hub/star 1875/2700 batches (937,500 edges)
[init]   hub/star 1880/2700 batches (940,000 edges)
[init]   hub/star 1885/2700 batches (942,500 edges)
[init]   hub/star 1890/2700 batches (945,000 edges)
[init]   hub/star 1895/2700 batches (947,500 edges)
[init]   hub/star 1900/2700 batches (950,000 edges)
[init]   hub/star 1905/2700 batches (952,500 edges)
[init]   hub/star 1910/2700 batches (955,000 edges)
[init]   hub/star 1915/2700 batches (957,500 edges)
[init]   hub/star 1920/2700 batches (960,000 edges)
[init]   hub/star 1925/2700 batches (962,500 edges)
[init]   hub/star 1930/2700 batches (965,000 edges)
[init]   hub/star 1935/2700 batches (967,500 edges)
